Codigo|Municipio|UG|Titulo|DataUltimaAuditoria|CodigoMunicipio|CodigoUG|LocalExecucao|DataInicial|AnoInicial|Prazo|NaturezaIntervencao|PrazoAditado|PrazoParalizacao
3328|Carnaíba|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial da rodovia PE-244, localizada no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-418 e PE-320, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-12T00:00:00|P041|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3328|Flores|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial da rodovia PE-244, localizada no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-418 e PE-320, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-12T00:00:00|P058|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3328|Pedra|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial da rodovia PE-244, localizada no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-418 e PE-320, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-12T00:00:00|P112|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3328|Serra Talhada|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial da rodovia PE-244, localizada no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-418 e PE-320, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-12T00:00:00|P143|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3328|Tabira|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial da rodovia PE-244, localizada no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-418 e PE-320, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-12T00:00:00|P150|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3334|Goiana|Prefeitura Municipal de Goiana|Contratação de empresa especializada na prestação de serviços de obras de engenharia, visando o calçamento de vias em paralelepípedo - diversas ruas da sede - Barro Vermelho no município de Goiana/PE|2020-09-10T00:00:00|P064|253|Município de Goiana - Barro Vermelho|2020-06-02T00:00:00|2020|240|Pavimentação||
3340|Frei Miguelinho|Prefeitura Municipal de Frei Miguelinho|Construção de uma Academia de Saúde (modalidade básica), no Povoado de Lagoa de João Carlos, município de Frei Miguelinho.|2020-09-28T00:00:00|P060|241|Povoado de Lagoa de João Carlos, Frei Miguelinho|2020-07-10T00:00:00|2020|120|Aparelhos e Metais||
3341|Santa Cruz do Capibaribe|Prefeitura Municipal de Santa Cruz do Capibaribe|Adequação na Escola Municipal Maria do Socorro Aragão Florêncio para a criação de um ponto de atendimento de urgência e emergência (Hospital de Campanha)|2020-09-28T00:00:00|P129|576|Escola Municipal Maria do Socorro Aragão Florêncio em Santa Cruz do Capibaribe|2020-04-10T00:00:00|2020|15|Banheiro||
3343|Recife|Secretaria de Saneamento do Recife|Contrato nº 2301.14.2017- Execução das obras de esgotamento sanitári, pavimentação, drenagem e construção civil (4 Estações Elevatórias de Esgoto e uma Estação de Tratamento de Esgoto) nas Unidades de esgotamento)- UE's 41B, 42 e 43 localizadas nos bairros do Cordeiro, Iputinga, Prado, Zumbi, Madalena, Torre e Engenho do Meio, todos na cidade do Recife. |2019-08-16T00:00:00|P120|523|Bairros do Cordeiro, Iputinga, Prado, Zumbi, Madalena, Torre e Engenho do Meio|2017-12-18T00:00:00|2017|780|Saneamento||
3344|Águas Belas|Prefeitura Municipal de Águas Belas|Locação de tendas do tipo piramidal|2020-08-10T00:00:00|P006|19|Sede e distritos|||90|Hospital||
3346|Recife|Universidade de Pernambuco|Contratação de empresa especializada em engenharia para prestação do serviço emergencial de reforma do ITEP para transferência da FOP/UPE|2020-10-06T00:00:00|P120|848|Blocos B e E do Instituto de Tecnologia de Pernambuco - ITEP. Av. Prof. Luís Freire, 700 - Cidade Universitária, Recife - PE, 50740-540|2020-01-06T00:00:00|2020|60|Edificação|116|
3347|Nazaré da Mata|Universidade de Pernambuco|Serviço da construção da coberta da quadra poliesportiva do Campus Nazaré da Mata|2020-10-13T00:00:00|P099|848|Universidade de Pernambuco, Campus Mata Norte, Nazaré da Mata-PE|2019-12-01T00:00:00|2019|180|Quadra Poliesportiva|180|
3351|Cabo de Santo Agostinho|Prefeitura Municipal do Cabo de Santo Agostinho|Hospital de Campanha de Ponte dos Carvalhos|2020-05-07T00:00:00|P030|115|Bairro Ponte dos Carvalhos|2020-05-07T00:00:00|2020||Hospital||
3353|Recife|Secretaria de Saneamento do Recife|Contrato nº 086/2008 - Execução das obras de Saneamento Integrado no Sistema Cordeiro, envolvendo as Unidades de Esgotamento EU 41, sub-bacia A, EU 41, sub-bacia B, Eu 42 e EU 43 nos bairros do Cordeiro, Iputinga, Prado, Zumbi, Madalena, Torre e Engenho do Meio na cidade do Recife-PE.|2019-08-16T00:00:00|P120|523|Bairros do Cordeiro, Iputinga, Prado, Zumbi, Madalena, Torre e Engenho do Meio|2008-03-26T00:00:00|2008|720|Rede Coletora de Esgoto||
3359|Paulista|Prefeitura Municipal de Paulista|Limpeza Urbana Paulista-PE|2020-11-04T00:00:00|P111|456|Paulista|2019-08-05T00:00:00|2019|180|Limpeza Urbana|360|
3360|São Lourenço da Mata|Prefeitura Municipal de São Lourenço da Mata|Manutenção emergencial da rede escolar municipal.|2020-11-17T00:00:00|P141|618|Diversas escolas|2017-01-25T00:00:00|2017|90|Escola||
3363|Santa Maria da Boa Vista|Prefeitura Municipal de Santa Maria da Boa Vista|Contrato nº 054/2018 - Reforma e ampliação de 03 (três) Escolas, nas Agrovilas 36, 25 e 07 do Projeto Fulgêncio.|2020-11-24T00:00:00|P130|579|Agrovilas 36, 25 d 07 do Projeto Fulgêncio, todas localizadas no interior do município de Santa Maria da Boa Vista|2018-07-26T00:00:00|2018|360|Escola||
3367|Camaragibe|Prefeitura Municipal de Camaragibe|Manutenção do Sistema Viário municipal|2020-12-07T00:00:00|P036|144|Diversas ruas|2020-03-08T00:00:00|2020|360|Pavimentação||
3368|Riacho das Almas|Prefeitura Municipal de Riacho das Almas|Reforma e readequação do ambulatório da Unidade Mista João Soares da Fonseca, do Município de Riacho das Almas|2020-11-30T00:00:00|P121|544|Unidade Mista João Soares da Fonseca. Rua Justo Fernandes da Mota. Centro. Riacho das Almas.|2020-04-25T00:00:00|2020||Hospital||
3369|São Bento do Una|Prefeitura Municipal de São Bento do Una|Drenagem da Rua 07, do Loteamento João Paulo II, no município de São Bento do Una - PE.|2020-12-04T00:00:00|P134|591|Rua 07, do Loteamento João Paulo II, no município de São Bento do Una-PE|2020-10-19T00:00:00|2020|90|Dragagem||
3370|São José do Egito|Prefeitura Municipal de São José do Egito|Locação de Trator de Esteira, para execução de serviços de limpeza, manutenção e construção de pequenas barragens de terra, limpeza de terrenos, construção de estradas vicinais, por período de 12 (doze) meses, para atender a Prefeitura Municipal de São José do Egito/PE.|2021-01-08T00:00:00|P140|614|Zona rural|2019-04-28T00:00:00|2019|365|Locação de Equipamentos para Eventos||
3380|Moreno|Prefeitura Municipal do Moreno|Contratação de empresa especializada na execução das atividades serviços de topografia e demarcação de área, a fim de regularização fundiária de interesse social, das áreas ocupadas de forma irregular por famílias de baixa renda ou que se encontrem em estado de vulnerabilidade social do município de Moreno-PE|2020-10-30T00:00:00|P098|380|Zona urbana do município de Moreno|2020-01-17T00:00:00|2020||Urbanização||
3381|Chã de Alegria|Prefeitura Municipal de Chã de Alegria|Perfuração, Instalação e Limpeza de Poços Artesianos em Diversas Localidades Rurais do Município - Dispensa s/nº|2021-02-19T00:00:00|P046|189|Chã de Alegria - zona rural|2020-10-20T00:00:00|2020|70|Poço||
70|Tuparetama|Prefeitura Municipal de Tuparetama|Contratação de empresa de engenharia para para execução de dos serviços de construção de escola (creche) no município de Tuparetama. |2012-06-01T00:00:00|P162|698|Sede do município de Tuparetama||||Creche||
194|Ipojuca|Prefeitura Municipal de Ipojuca|Implantação do Parque de Eventos no Distrito de Nossa Senhora do Ó|2015-04-01T00:00:00|P074|293|À margem direita da PE-009, logo após entroncamento com a PE-038.|2010-01-22T00:00:00|2010|360|Praça/Parque||
198|Ipojuca|Prefeitura Municipal de Ipojuca|Construção do Complexo Educacional e Desportivo de Ipojuca|2015-04-01T00:00:00|P074|293|À margem da PE-060, na sede do município.||||Escola||
286|Caruaru|Departamento de Estradas de Rodagem do Estado de Pernambuco|Restauração e duplicação da BR-104, trecho: Km 19,8-71,2|2015-05-27T00:00:00|P043|857|BR-104, tr. entr. PE-160 (P.de-açúcar)ao entr.PE-149 (Agrestina), Km19,8 ao 71,2|2008-11-13T00:00:00|2008|780|Rodovia|1149|248
286|Toritama|Departamento de Estradas de Rodagem do Estado de Pernambuco|Restauração e duplicação da BR-104, trecho: Km 19,8-71,2|2015-05-27T00:00:00|P157|857|BR-104, tr. entr. PE-160 (P.de-açúcar)ao entr.PE-149 (Agrestina), Km19,8 ao 71,2|2008-11-13T00:00:00|2008|780|Rodovia|1149|248
295|Jaboatão dos Guararapes|Departamento de Estradas de Rodagem do Estado de Pernambuco|Obras para a duplicação da PE-008, Estrada da Batalha|2012-11-20T00:00:00|P083|857|Estrada da Batalha, trecho da Av. Maria Irene (Aer. dos Guararapes)- Viad. da Ferrovia Prazeres - Lacerda, Jaboatão dos Guararapes|2009-05-13T00:00:00|2009|780|Rodovia|638|
302|Floresta|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução de Obras de Implantação e Pavimentação da Rodovia PE-425 (antiga PE-423). Trecho: Carnaubeira da Penha/Floresta, com extensão de 43,40 Km|2016-11-22T00:00:00|P059|857|Carnaubeira da Penha - Floresta|2009-10-26T00:00:00|2009|366|Rodovia||
302|Carnaubeira da Penha|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução de Obras de Implantação e Pavimentação da Rodovia PE-425 (antiga PE-423). Trecho: Carnaubeira da Penha/Floresta, com extensão de 43,40 Km|2016-11-22T00:00:00|P172|857|Carnaubeira da Penha - Floresta|2009-10-26T00:00:00|2009|366|Rodovia||
304|Camaragibe|Departamento de Estradas de Rodagem do Estado de Pernambuco|Restauração e Adequação de Capacidade e Duplicação da Rodovia BR-408/PE, Trecho: Div. PB/PE (Juparintinga/Biranga)- entr. BR-232, Subtrecho:Entr. PE-005 (Bicopeba) - Entr. BR-232, Segmento: KM 86,10 - KM 105,80.|2013-12-11T00:00:00|P036|857|Camaragibe|2009-04-28T00:00:00|2009|720|Rodovia|553|
304|Paudalho|Departamento de Estradas de Rodagem do Estado de Pernambuco|Restauração e Adequação de Capacidade e Duplicação da Rodovia BR-408/PE, Trecho: Div. PB/PE (Juparintinga/Biranga)- entr. BR-232, Subtrecho:Entr. PE-005 (Bicopeba) - Entr. BR-232, Segmento: KM 86,10 - KM 105,80.|2013-12-11T00:00:00|P110|857|Camaragibe|2009-04-28T00:00:00|2009|720|Rodovia|553|
304|Recife|Departamento de Estradas de Rodagem do Estado de Pernambuco|Restauração e Adequação de Capacidade e Duplicação da Rodovia BR-408/PE, Trecho: Div. PB/PE (Juparintinga/Biranga)- entr. BR-232, Subtrecho:Entr. PE-005 (Bicopeba) - Entr. BR-232, Segmento: KM 86,10 - KM 105,80.|2013-12-11T00:00:00|P120|857|Camaragibe|2009-04-28T00:00:00|2009|720|Rodovia|553|
304|São Lourenço da Mata|Departamento de Estradas de Rodagem do Estado de Pernambuco|Restauração e Adequação de Capacidade e Duplicação da Rodovia BR-408/PE, Trecho: Div. PB/PE (Juparintinga/Biranga)- entr. BR-232, Subtrecho:Entr. PE-005 (Bicopeba) - Entr. BR-232, Segmento: KM 86,10 - KM 105,80.|2013-12-11T00:00:00|P141|857|Camaragibe|2009-04-28T00:00:00|2009|720|Rodovia|553|
306|Cabo de Santo Agostinho|Suape - Complexo Industrial Portuário Governador Eraldo Gueiros|Obras e Serviços de Duplicação da TDR-Norte e de Revisão e Adequação do Contorno do Cabo de Santo Agostinho.|2013-11-21T00:00:00|P030|1041|SUAPE|2010-08-31T00:00:00|2010|540|Rodovia|978|
330|Ouricuri|Prefeitura Municipal de Ouricuri|Serviço de Limpeza Urbana|2012-07-03T00:00:00|P103|417|SEDE DO MUNICÍPIO||||Limpeza||
357|Bodocó|Prefeitura Municipal de Bodocó|Construção de Pavimentação em Paralelepípedo Granítico na Av. Castelo Branco e Diversas Ruas no Bairro São Francisco.|2012-08-01T00:00:00|P021|80|Sede do município||||Pavimentação||
364|Saloá|Secretaria de Educação e Esportes|Construção da Escola Monsenhor João Marques, localizada no município de Saloá/PE|2012-09-14T00:00:00|P127|989|Saloá - PE|2010-05-03T00:00:00|2010|300|Escola||
365|Orobó|Secretaria de Educação e Esportes|Construção da Escola Profª Rita Maria da Conceição, localizada no município de Orobó/PE|2012-03-23T00:00:00|P101|989|Orobó - PE|2010-04-12T00:00:00|2010|270|Escola||
366|Goiana|Secretaria de Educação e Esportes|Construção da Escola Frei Campo Mayor com quadra coberta, localizada no município de Goiana/PE|2012-03-23T00:00:00|P064|989|Goiana - PE|2010-04-19T00:00:00|2010|300|Escola||
367|Camaragibe|Secretaria de Educação e Esportes|Construção da Escola Antônio Correia de Araújo, localizada no município de Camaragibe/PE|2012-03-23T00:00:00|P036|989|Camaragibe - PE|2010-04-12T00:00:00|2010|240|Escola||
368|Olinda|Secretaria de Educação e Esportes|Construção da Escola Santa Ana com quadra coberta, localizada no município de Olinda/PE|2012-03-23T00:00:00|P100|989|Olinda -PE|2010-07-01T00:00:00|2010|300|Escola||
369|Camaragibe|Secretaria de Educação e Esportes|Construção da Escola Torquato de Castro com quadra coberta, localizada no município de Camaragibe/PE|2012-03-23T00:00:00|P036|989|Camaragibe - PE|2010-05-15T00:00:00|2010|270|Escola||
472|Ipojuca|Secretaria de Turismo|IMPLANTAÇÃO E PAVIMENTAÇÃO DE CICLOVIA E PISTA DE COOPER AO LONGO DA PE-009 E DAS INTERSECÇÕES A, B E C DA PE-009 COM OS ACESSOS AOS HOTÉIS E POUSADAS.|2013-06-04T00:00:00|P074|1049|Ipojuca-PE||||Rodovia||
495|Jaboatão dos Guararapes|Companhia Estadual de Habitação e Obras|Revestimento do Canal do Jordão|2012-08-31T00:00:00|P083|800|Jaboatão dos Guararapes (PE) e Recife (PE)||||Drenagem||
501|Custódia|Prefeitura Municipal de Custódia|Contratação de Empresa de Engenharia para Construção da obra do Prédio de Creche, destinada ao Programa Proinfância/FNDE, no Município de Custódia.|2016-11-10T00:00:00|P053|220|Área urbana do Município de Custódia||||Escola||
508|Paulista|Companhia Estadual de Habitação e Obras|Conjunto Habitacional Chega Mais|2014-03-28T00:00:00|P111|800|Chega Mais|2012-01-27T00:00:00|2012|300|Edificação|180|
513|Paudalho|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das Obras/Serviços de Implantação e Pavimentação da Rodovia PE-027, Trecho: Chã de Cruz - Araçoiaba, com uma extensão aproximada de 18,00 Km.|2012-09-03T00:00:00|P110|857|Município de Araçoiaba.|2008-12-29T00:00:00|2008|180|Rodovia|1114|
