Conteudo|TipoPrazo|nr_processo|NomeUJDeterminacao|NomeUJPrincipalProcesso|ExercicioPrincipalProcesso|NomeRelator|Modalidade|Tipo|EsferaUJPrincipalProcesso|MunicipioUJPrincipalProcesso|StatusProcesso|Documento|AnoAcordaoParecer|DataSessaoJulgamento|HoraSessaoJulgamento|NomeColegiado|LinkProcesso|LinkDocumento|NumeroAcordaoParecer|dt_prazo|nr_prazo_dias
"<p style=""text-align: justify;"">Atentar, de forma imediata, para o cumprimento dos limites constitucionais e legais, promovendo medidas efetivas de atendimento aos limites previstos na Lei de Responsabilidade Fiscal para a Despesa Total com Pessoal.</p>
<br><p style=""text-align: justify;"">Regularizar a D&amp;iacute;vida Ativa do Munic&amp;iacute;pio, promovendo a sua efetiva cobran&amp;ccedil;a e arrecada&amp;ccedil;&amp;atilde;o (vide <strong>item 3.3.1 do Relat&amp;oacute;rio de Auditoria</strong>).</p>
<br><p style=""text-align: justify;"">Acompanhar a situa&amp;ccedil;&amp;atilde;o da municipalidade junto ao RPPS, de modo que haja seguran&amp;ccedil;a jur&amp;iacute;dica do conjunto dos segurados que se encontram filiados ao referido sistema e no pleno gozo dos seus direitos, bem como a garantia ao Munic&amp;iacute;pio de que n&amp;atilde;o haver&amp;aacute; forma&amp;ccedil;&amp;atilde;o de passivos futuros capazes de afetar o equil&amp;iacute;brio de suas contas e o cumprimento de suas metas fiscais.</p>
<br><p style=""text-align: justify;"">Providenciar, de forma imediata, junto ao setor competente da Prefeitura Municipal, a correta e tempestiva contabiliza&amp;ccedil;&amp;atilde;o, assim como o posterior recolhimento/repasse das contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias (dos segurados e patronal) devidas ao RPPS, em &amp;eacute;poca pr&amp;oacute;pria, evitando o pagamento de multa e juros ao &amp;oacute;rg&amp;atilde;o competente.</p>
<br>"|Sem prazo|17100150-3|Prefeitura Municipal de Vicência|Prefeitura Municipal de Vicência|2016|CARLOS NEVES|Prestação de Contas|Governo|M |Vicência|Transitado em Julgado - Julgado pelo Legislativo|Parecer Prévio|2019|2019-08-15|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=17100150&digito=3|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=84CE0E62-4252-40CE-8D7F-13E5373D5FF6|||
"<p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Providenciar, com a maior brevidade, o recolhimento das contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias descontadas dos servidores, bem como da cota patronal devidas ao INSS;</font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Abster-se de realizar inscri&amp;ccedil;&amp;otilde;es em Restos a Pagar sem a correspondente disponibilidade de caixa que garanta o devido suporte financeiro aos compromissos firmados;</font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Incluir na programa&amp;ccedil;&amp;atilde;o financeira demonstrativo com a especifica&amp;ccedil;&amp;atilde;o, em separado, da quantidade e valores de a&amp;ccedil;&amp;otilde;es ajuizadas para cobran&amp;ccedil;a da d&amp;iacute;vida ativa, bem como da evolu&amp;ccedil;&amp;atilde;o do montante dos cr&amp;eacute;ditos tribut&amp;aacute;rios pass&amp;iacute;veis de cobran&amp;ccedil;a administrativa;</font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Aprimorar o controle cont&amp;aacute;bil das receitas e despesas or&amp;ccedil;ament&amp;aacute;rias por fonte/destina&amp;ccedil;&amp;atilde;o dos recursos, discriminando as fontes ordin&amp;aacute;rias e vinculadas de receitas e suas respectivas aplica&amp;ccedil;&amp;otilde;es em despesas, em obedi&amp;ecirc;ncia ao previsto no Manual de Contabilidade Aplicada ao Setor P&amp;uacute;blico &amp;ndash; MCASP.</font></font></p>
<br><p>Evitar assumir obriga&amp;ccedil;&amp;otilde;es, nos dois &amp;uacute;ltimos quadrimestres do &amp;uacute;ltimo ano do mandato, sem contrapartida suficiente de disponibilidade de caixa;</p>
<br><p style=""text-align: justify;""><span style=""font-size:16px""><span style=""font-family:arial,helvetica,sans-serif"">Que a atual gest&amp;atilde;o se certifique da&amp;nbsp;devolu&amp;ccedil;&amp;atilde;o pela C&amp;acirc;mara Municipal de Jaqueira dos valores retidos nas cotas do FPM a t&amp;iacute;tulo de contribu&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias e, em caso negativo, que&amp;nbsp;sejam tomadas&amp;nbsp;medidas judiciais cab&amp;iacute;veis para a recomposi&amp;ccedil;&amp;atilde;o de tais&amp;nbsp;valores;</span></span></p>
<br>"|Sem prazo|17100153-9|Prefeitura Municipal de Jaqueira|Prefeitura Municipal de Jaqueira|2016|ADRIANO CISNEIROS|Prestação de Contas|Governo|M |Jaqueira|Julgado (publicado)|Parecer Prévio|2021|2021-02-25|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=17100153&digito=9|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=3411298D-2994-4AB8-BB04-DD1A0BCD4FBE|||
"<p>adotar medidas para que se evite a mistura das massas do Plano Previdenci&amp;aacute;rio e do Plano Financeiro do Regime P&amp;uacute;blico de Previd&amp;ecirc;ncia Social, bem como que promovam o equil&amp;iacute;brio financeiro e atuarial desse regime.</p>
<br><p>constituir provis&amp;atilde;o para cr&amp;eacute;ditos de recebimento incerto inscritos em d&amp;iacute;vida ativa, conforme Portaria n&amp;ordm; 564, de 27 de outubro de 2004, da Secretaria do Tesouro Nacional;</p>
<br><p>&amp;nbsp;recolher em sua totalidade as contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias devidas pelo ente aos regimes geral e pr&amp;oacute;prio de previd&amp;ecirc;ncia social ;</p>
<br><p>evitar inscri&amp;ccedil;&amp;otilde;es em Restos a Pagar sem a correspondente disponibilidade de caixa que garanta o devido suporte financeiro aos compromissos firmados.</p>
<br>"|Sem prazo|17100156-4|Prefeitura Municipal de Jataúba|Prefeitura Municipal de Jataúba|2016|RUY RICARDO HARTEN|Prestação de Contas|Governo|M |Jataúba|Transitado em Julgado - Julgado pelo Legislativo|Parecer Prévio|2019|2019-09-24|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=17100156&digito=4|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=CE87690A-1648-409E-AFD6-4EEB0DF2D835|||
"<p style=""text-align: justify;"">Adotar medidas para cobran&amp;ccedil;a de multas e juros sobre as contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias recolhidas fora dos prazos legais e efetuar cobran&amp;ccedil;as administrativas mensalmente identificando nas GIRs o montante devido, os juros e multas.</p>
<br><p dir=""ltr"" style=""text-align: justify;"">Implantar o registro individualizado das contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias dos servidores, conforme determinado na Lei Federal n&amp;ordm; 9.717/98 e Orienta&amp;ccedil;&amp;atilde;o Normativa n&amp;ordm; 02/2009 do MPAS (A10.1).</p>

<p>&amp;nbsp;</p>
<br>"|Sem prazo|17100218-0|Instituto de Previdência dos Servidores Municipais de Lajedo|Instituto de Previdência dos Servidores Municipais de Lajedo|2016|LUIZ ARCOVERDE FILHO|Prestação de Contas|Gestão|M |Lajedo|Transitado em julgado|Acórdão|2018|2018-12-18|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=17100218&digito=0|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=EC2683AE-FD3A-4A98-A22E-ACD88CED4430|1575||
"<p style=""text-align: justify;"">Observar a economicidade de se celebrar contratos de loca&amp;ccedil;&amp;atilde;o de ve&amp;iacute;culos em confronto com a possibilidade de aquisi&amp;ccedil;&amp;atilde;o dos mesmos e que atendam &amp;agrave;s necessidades do Munic&amp;iacute;pio.</p>
<br><p style=""text-align: justify;"">Realizar os processos licitat&amp;oacute;rios devidos para a loca&amp;ccedil;&amp;atilde;o de im&amp;oacute;veis, em aten&amp;ccedil;&amp;atilde;o ao que preceitua o artigo 24, inciso X, da Lei Federal 8.666/93.</p>
<br><p style=""text-align: justify;"">Observar a devida contabiliza&amp;ccedil;&amp;atilde;o de gastos com prestadores de servi&amp;ccedil;os em elementos do grupo PESSOAL, seja pela natureza do servi&amp;ccedil;o ou pela n&amp;atilde;o eventualidade.</p>
<br>"|Sem prazo|17100219-2|Prefeitura Municipal de Bodocó|Prefeitura Municipal de Bodocó|2016|CARLOS NEVES|Prestação de Contas|Gestão|M |Bodocó|Julgado (Publicado) - Recorrido|Acórdão|2020|2020-12-15|15:00:00|1ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=17100219&digito=2|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=762A7286-4E86-4775-A1D6-7E8D182B7F5C|1193||
"<p style=""text-align: justify;"">Promover a implanta&amp;ccedil;&amp;atilde;o de controles eficientes e eficazes na Gest&amp;atilde;o Or&amp;ccedil;ament&amp;aacute;ria, Financeira e Patrimonial do Munic&amp;iacute;pio;</p>
<br><p style=""text-align: justify;"">Elaborar Programa&amp;ccedil;&amp;atilde;o Financeira e Cronograma Mensal de Desembolso at&amp;eacute; 30 dias ap&amp;oacute;s a publica&amp;ccedil;&amp;atilde;o da Lei Or&amp;ccedil;ament&amp;aacute;ria Anual (LOA), nos termos estabelecidos pela LDO, a fim de que seja realizado o fluxo de caixa do Munic&amp;iacute;pio, de modo que, uma vez detectada a frustra&amp;ccedil;&amp;atilde;o de alguma receita que possa comprometer o planejamento da execu&amp;ccedil;&amp;atilde;o or&amp;ccedil;ament&amp;aacute;ria, sejam tomadas as devidas provid&amp;ecirc;ncias quanto &amp;agrave;s limita&amp;ccedil;&amp;otilde;es de empenhos, para que seja garantido o equil&amp;iacute;brio financeiro e fiscal do Munic&amp;iacute;pio;</p>
<br><p style=""text-align: justify;"">Regularizar a D&amp;iacute;vida Ativa do Munic&amp;iacute;pio, promovendo a sua efetiva cobran&amp;ccedil;a e arrecada&amp;ccedil;&amp;atilde;o (vide <strong>item 3.3.1 do Relat&amp;oacute;rio de Auditoria</strong>);</p>
<br><p style=""text-align: justify;"">Organizar a contabilidade de forma a permitir o acompanhamento dos fatos decorrentes ou n&amp;atilde;o da execu&amp;ccedil;&amp;atilde;o or&amp;ccedil;ament&amp;aacute;ria e a an&amp;aacute;lise e interpreta&amp;ccedil;&amp;atilde;o dos resultados econ&amp;ocirc;micos e financeiros, zelando para o exato registro dos valores que comp&amp;otilde;em as pe&amp;ccedil;as cont&amp;aacute;beis e em observ&amp;acirc;ncia &amp;agrave;s normas que regem &amp;agrave;&amp;nbsp;sua elabora&amp;ccedil;&amp;atilde;o;</p>
<br><p style=""text-align: justify;"">Evitar a assun&amp;ccedil;&amp;atilde;o de novos compromissos sem lastro financeiro para tanto e o aumento de Restos a Pagar, com fins de melhorar os &amp;iacute;ndices de liquidez (imediata e corrente), apurados no final de 2016;</p>
<br><p style=""text-align: justify;"">Exigir da Contabilidade o aprimoramento do controle cont&amp;aacute;bil por fontes/destina&amp;ccedil;&amp;atilde;o de recursos, a fim de que sejam obedecidos os saldos de cada conta, evitando, assim, a realiza&amp;ccedil;&amp;atilde;o de despesas sem lastro financeiro, de modo a preservar o equil&amp;iacute;brio financeiro e fiscal do Munic&amp;iacute;pio;</p>
<br><p style=""text-align: justify;"">Acompanhar a situa&amp;ccedil;&amp;atilde;o da municipalidade junto ao RGPS, de modo que haja seguran&amp;ccedil;a jur&amp;iacute;dica do conjunto dos segurados que se encontram filiados ao referido sistema e no pleno gozo dos seus direitos, bem como a garantia ao Munic&amp;iacute;pio de que n&amp;atilde;o haver&amp;aacute; forma&amp;ccedil;&amp;atilde;o de passivos futuros capazes de afetar o equil&amp;iacute;brio de suas contas e o cumprimento de suas metas fiscais;</p>
<br><p style=""text-align: justify;"">Providenciar, junto ao setor competente, a correta e tempestiva contabiliza&amp;ccedil;&amp;atilde;o, assim como o posterior recolhimento/repasse das contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias (dos segurados e patronal) devidas ao RGPS, em &amp;eacute;poca pr&amp;oacute;pria, evitando o pagamento de multa e juros ao &amp;oacute;rg&amp;atilde;o competente;</p>
<br>"|Sem prazo|17100157-6|Prefeitura Municipal de Poção|Prefeitura Municipal de Poção|2016|JOÃO CARNEIRO CAMPOS|Prestação de Contas|Governo|M |Poção|Transitado em Julgado após Recursos - Aguardando Julgamento do Legislativo|Parecer Prévio|2018|2018-10-23|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=17100157&digito=6|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=CB5EB187-0246-46A2-8E88-03831C54A3D0|||
"<p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Preconizar normas, por quando da elabora&amp;ccedil;&amp;atilde;o da LDO, com vistas ao controle de custos e &amp;agrave; avalia&amp;ccedil;&amp;atilde;o dos resultados de programas financiados com os recursos dos or&amp;ccedil;amentos (art. 4&amp;ordm;, I, &amp;ldquo;e&amp;rdquo;, LRF);</font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Especificar na programa&amp;ccedil;&amp;atilde;o financeira as medidas relativas &amp;agrave; quantidade e valores de a&amp;ccedil;&amp;otilde;es ajuizadas para cobran&amp;ccedil;a da d&amp;iacute;vida ativa, bem como a evolu&amp;ccedil;&amp;atilde;o do montante dos cr&amp;eacute;ditos tribut&amp;aacute;rios pass&amp;iacute;veis de cobran&amp;ccedil;a administrativa;</font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Providenciar o registro, em conta redutora, de Provis&amp;atilde;o para Perdas de D&amp;iacute;vida Ativa, no Balan&amp;ccedil;o Patrimonial;</font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Evitar o empenho e vincula&amp;ccedil;&amp;atilde;o de despesas aos recursos do FUNDEB sem lastro financeiro, em montante acima da receita recebida no exerc&amp;iacute;cio;</font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">R</font></font><font face=""Arial, sans-serif""><font size=""3"">ecolher integral e temp</font></font><font face=""Arial, sans-serif""><font size=""3"">estivamente as contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias, </font></font><font face=""Arial, sans-serif""><font size=""3"">zelando pela solidez dos regimes</font></font><font face=""Arial, sans-serif""><font size=""3"">, de modo que ofere&amp;ccedil;am seguran&amp;ccedil;a jur&amp;iacute;dica ao conjunto dos segurados, e evitando a forma&amp;ccedil;&amp;atilde;o de passivos que comprometam gest&amp;otilde;es futuras.</font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Tomar as medidas pertinentes &amp;agrave; implanta&amp;ccedil;&amp;atilde;o dos </font></font><font face=""Arial, sans-serif""><font size=""3"">padr&amp;otilde;es cont&amp;aacute;beis exigidos na seara&amp;nbsp; p&amp;uacute;blica (NBCASP, PCASP, DCASP e MCASP);</font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Observar os limites legais previstos para o repasse do duod&amp;eacute;cimo &amp;agrave; C&amp;acirc;mara Municipal de Vereadores</font></font><font face=""Arial, sans-serif""><font size=""3"">.</font></font></p>
<br>"|Sem prazo|17100159-0|Prefeitura Municipal de São José do Egito|Prefeitura Municipal de São José do Egito|2016|RUY RICARDO HARTEN|Prestação de Contas|Governo|M |São José do Egito|Julgado (Publicado) - Recorrido|Parecer Prévio|2020|2020-08-27|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=17100159&digito=0|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=B2B26395-EBAC-41E8-A748-78CF813B97C7|||
"<p align=""justify""><font color=""#0000cc""><font face=""Arial, sans-serif""><font size=""3""><font color=""#000000"">Adotar as medidas cab&amp;iacute;veis com vistas ao aprimoramento do processo e elabora&amp;ccedil;&amp;atilde;o dos instrumentos de planejamento or&amp;ccedil;ament&amp;aacute;rio, mormente no que toca &amp;agrave;&amp;nbsp;metodologia de c&amp;aacute;lculo adotada para a previs&amp;atilde;o da receita or&amp;ccedil;ament&amp;aacute;ria, em fun&amp;ccedil;&amp;atilde;o da real capacidade de arrecada&amp;ccedil;&amp;atilde;o do munic&amp;iacute;pio;</font></font></font></font></p>
<br><p align=""justify""><font color=""#0000cc""><font face=""Arial, sans-serif""><font size=""3""><font color=""#000000"">Adotar as medidas necess&amp;aacute;rias com vistas ao ajuizamento e cobran&amp;ccedil;a dos cr&amp;eacute;ditos inscritos na </font><font color=""#000000"">D</font><font color=""#000000"">&amp;iacute;vida </font><font color=""#000000"">A</font><font color=""#000000"">tiva;</font></font></font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Recolher integral e tempestivamente as contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias, zelando pela solidez dos regimes, de modo que ofere&amp;ccedil;am seguran&amp;ccedil;a jur&amp;iacute;dica ao conjunto dos segurados, garantindo ao munic&amp;iacute;pio a aus&amp;ecirc;ncia de forma&amp;ccedil;&amp;atilde;o de passivos futuros capazes de afetar o equil&amp;iacute;brio de suas contas e o cumprimento das metas fiscais;</font></font></p>
<br><p align=""justify""><font size=""2""><font color=""#000000""><font face=""Arial, sans-serif""><font size=""3"">Providenciar </font></font></font><font color=""#000000""><font face=""Arial, sans-serif""><font size=""3"">a regulariza&amp;ccedil;&amp;atilde;o, junto ao</font></font></font><font color=""#000000""><font face=""Arial, sans-serif""><font size=""3""> Legislativo Municipal, da diferen&amp;ccedil;a </font></font></font><font color=""#000000""><font face=""Arial, sans-serif""><font size=""3"">repassada</font></font></font><font color=""#000000""><font face=""Arial, sans-serif""><font size=""3""> a menor do duod&amp;eacute;cimo</font></font></font><font color=""#000000""><font face=""Arial, sans-serif""><font size=""3"">;</font></font></font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Abster-se de realizar inscri&amp;ccedil;&amp;otilde;es em Restos a Pagar sem a correspondente disponibilidade de caixa que garanta o devido suporte financeiro aos compromissos firmados;</font></font></p>
<br><p align=""justify""><font face=""Arial, sans-serif""><font size=""3"">Disponibilizar efetivamente e com integridade as informa&amp;ccedil;&amp;otilde;es devidas e exigidas pela legisla&amp;ccedil;&amp;atilde;o, quanto ao n&amp;iacute;vel de transpar&amp;ecirc;ncia p&amp;uacute;blica.</font></font></p>
<br>"|Sem prazo|17100162-0|Prefeitura Municipal de Tupanatinga|Prefeitura Municipal de Tupanatinga|2016|CARLOS PORTO|Prestação de Contas|Governo|M |Tupanatinga|Transitado em Julgado após Recursos|Parecer Prévio|2018|2018-12-18|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=17100162&digito=0|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=203F080A-18AD-4CD3-AACD-9EC4EB0C75DD|||
"<p><span style=""color:#101010; font-family:arial,sans-serif; font-size:12.0pt; mso-ansi-language:PT-BR; mso-bidi-font-size:11.0pt; mso-bidi-language:PT; mso-fareast-font-family:Arial; mso-fareast-language:PT"">Efetuar o controle das disponibilidades financeiras por fonte/destina&amp;ccedil;&amp;atilde;o de recursos, desde a elabora&amp;ccedil;&amp;atilde;o do or&amp;ccedil;amento at&amp;eacute; a sua execu&amp;ccedil;&amp;atilde;o, incluindo o ingresso, o comprometimento e a sa&amp;iacute;da dos recursos or&amp;ccedil;ament&amp;aacute;rios</span>.</p>
<br><p><span style=""font-family:arial,sans-serif; font-size:12.0pt; mso-ansi-language:PT-BR; mso-bidi-font-size:11.0pt; mso-bidi-language:PT; mso-fareast-font-family:Arial; mso-fareast-language:PT"">Publicar a programa&amp;ccedil;&amp;atilde;o financeira e o cronograma de execu&amp;ccedil;&amp;atilde;o mensal de desembolso do Munic&amp;iacute;pio dentro do prazo legal estabelecido pelo artigo 8&amp;ordm; da Lei de Responsabilidade Fiscal (LRF), com os anexos necess&amp;aacute;rios ao seu fiel cumprimento</span>.</p>
<br><p><span style=""font-family:arial,sans-serif; font-size:12.0pt; mso-ansi-language:PT-BR; mso-bidi-font-size:11.0pt; mso-bidi-language:PT; mso-fareast-font-family:Arial; mso-fareast-language:PT"">Efetuar os registros necess&amp;aacute;rios para a provis&amp;atilde;o para perdas de cr&amp;eacute;ditos da<span style=""letter-spacing:-.5pt""> </span>D&amp;iacute;vida </span><span style=""font-family:arial,sans-serif; font-size:11.0pt; mso-ansi-language:PT-BR; mso-bidi-language:PT; mso-fareast-font-family:Arial; mso-fareast-language:PT"">Ativa, de modo a evitar o superdimensionamento do Ativo do Munic&amp;iacute;pio</span>.</p>
<br><p>Efetuar os devidos controles, em especial, a limita&amp;ccedil;&amp;atilde;o de empenho, de forma a evitar inscri&amp;ccedil;&amp;atilde;o de restos sem que haja disponibilidades financeiras para o seu custeio, o que pode comprometer o desempenho or&amp;ccedil;ament&amp;aacute;rio do exerc&amp;iacute;cio seguinte.</p>
<br><p>Empreender, no &amp;acirc;mbito de sua competencia, medidas junto aos gestores do instituto previdenciario municipal para que deem concre&amp;ccedil;&amp;atilde;o &amp;agrave; legisla&amp;ccedil;&amp;atilde;o local que reestruturou o regime pr&amp;oacute;prio, em especial a efetiva&amp;ccedil;&amp;atilde;o da segrega&amp;ccedil;&amp;atilde;o das&amp;nbsp; massas do Plano Previdenci&amp;aacute;rio e do Plano Financeiro. E, nessa&amp;nbsp; esteira, que seja recomposta a reserva financeira do&amp;nbsp; Plano Previdenci&amp;aacute;rio, alcan&amp;ccedil;ado-se, se for o caso, todo o per&amp;iacute;odo desde sua cria&amp;ccedil;&amp;atilde;o at&amp;eacute; os dias atuais.</p>
<br><p><span style=""font-family:arial,sans-serif; font-size:12.0pt; mso-ansi-language:PT-BR; mso-bidi-font-size:11.0pt; mso-bidi-language:PT; mso-fareast-font-family:Arial; mso-fareast-language:PT"">Aprimorar a metodologia utilizada para or&amp;ccedil;ar a receita estimada na LOA de modo a evitar o superdimensionamento das receitas previstas e, consequentemente, das despesas autorizadas.</span></p>
<br>"|Sem prazo|17100164-3|Prefeitura Municipal de Santa Cruz da Baixa Verde|Prefeitura Municipal de Santa Cruz da Baixa Verde|2016|RUY RICARDO HARTEN|Prestação de Contas|Governo|M |Santa Cruz da Baixa Verde|Julgado (Publicado) - Recorrido|Parecer Prévio|2020|2020-06-02|15:00:00|1ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=17100164&digito=3|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=4ED65799-740D-48B3-A475-0C021DABD817|||
"<p style=""text-align: justify;"">Realizar os procedimentos administrativos e cont&amp;aacute;beis devidos, visando apurar a prov&amp;aacute;vel exist&amp;ecirc;ncia de cr&amp;eacute;ditos a receber de d&amp;iacute;vida ativa, e realizar a correta avalia&amp;ccedil;&amp;atilde;o e efetiva cobran&amp;ccedil;a da D&amp;iacute;vida Ativa, inclusive quanto a medidas judiciais, se for o caso. (itens 2.3 e 3.3.1);</p>
<br><p style=""text-align: justify;"">Adotar medidas com vistas ao incremento da arrecada&amp;ccedil;&amp;atilde;o da Receita Tribut&amp;aacute;ria Pr&amp;oacute;pria, inclusive da receita oriunda da contribui&amp;ccedil;&amp;atilde;o para custeio da ilumina&amp;ccedil;&amp;atilde;o p&amp;uacute;blica (COSIP) ;</p>
<br><p style=""text-align: justify;"">Disponibilizar efetivamente e com integridade as informa&amp;ccedil;&amp;otilde;es devidas e exigidas pela legisla&amp;ccedil;&amp;atilde;o, quanto ao n&amp;iacute;vel de transpar&amp;ecirc;ncia p&amp;uacute;blica.</p>
<br><p style=""text-align: justify;"">Atentar para o efetivo controle e regular e cont&amp;iacute;nuo recolhimento das contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias devidas ao Regime Pr&amp;oacute;prio da Previd&amp;ecirc;ncia Social - RPPS e ao Regime Geral da Previd&amp;ecirc;ncia Social- RGPS;</p>
<br><p style=""text-align: justify;"">Adotar provid&amp;ecirc;ncias para manter a abertura de cr&amp;eacute;ditos adicionais dentro do limite da&amp;nbsp;autoriza&amp;ccedil;&amp;atilde;o do Poder Legislativo Municipal;</p>
<br><p>Evidenciar&amp;nbsp;no Balan&amp;ccedil;o Financeiro e no Balan&amp;ccedil;o Patrimonial as informa&amp;ccedil;&amp;otilde;es cont&amp;aacute;beis em obedi&amp;ecirc;ncia ao previsto no Manual de Contabilidade Aplicada ao Setor P&amp;uacute;blico - MCASP;</p>
<br><p>Evita empenhar e vincular despesas aos recursos do FUNDEB sem lastro financeiro, em montante acima da receita recebida no exerc&amp;iacute;cio, de forma que&amp;nbsp;n&amp;atilde;o haja comprometimento da receita do exerc&amp;iacute;cio seguinte;</p>
<br><p style=""text-align: justify;"">Adotar provid&amp;ecirc;ncias para a recondu&amp;ccedil;&amp;atilde;o dos gastos com pessoal ao limite determinado na Lei de Responsabilidade Fiscal;</p>
<br>"|Sem prazo|17100165-5|Prefeitura Municipal de Iati|Prefeitura Municipal de Iati|2016|TERESA DUERE|Prestação de Contas|Governo|M |Iati|Transitado em Julgado - Julgado pelo Legislativo|Parecer Prévio|2019|2019-02-05|10:00:00|1ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=17100165&digito=5|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=B742F87C-43E6-4280-9C1B-3F7C6ADCFD56|||
